CD Code,County,District,Enrollment,DOCType,STAFF TRAINING - Y OR N,TEACHERS INCLUDED?,GRADES INCLUDED,GRADES NOT INCLUDED,STAFF TRAIN - ELEM,STAFF TRAIN - MIDDLE,STAFF TRAIN - HIGH,TEACHER TRAIN - ELEM,TEACHER TRAIN- MIDDLE,TEACHER TRAIN - HIGH,STUDENT TRAIN - ELEM,STUDENT TRAIN - MIDDLE,STUDENT TRAIN - HIGH,STUDENT TRAINING? Y OR N,STU GRADES: YES,STU GRADES: NO,# Elem,# Middle,# High,Total,additional comments for web,link to school logo,relative
4369641,Santa Clara,Palo Alto Unified,"12,287",Unified School District,Y,Y,ALL,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Y,ALL,NA,UNKNOWN,UNKNOWN,UNKNOWN,0,The district contracts with Gender Spectrum to educate teachers on gender issues.,https://www.google.com/search?q=palo+alto+unified&source=lnms&tbm=isch&sa=X&ved=0ahUKEwj9mor0_8PWAhUKkpQKHWxID5UQ_AUIDCgD&biw=1440&bih=834#imgrc=jm1XEiTtEzPvoM:,palo-alto.jpg
175101,Alameda,Pleasanton Unified,"14,778",Unified School District,Y,Y,ALL,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,PARTIAL,"M,H",E,UNKNOWN,UNKNOWN,UNKNOWN,0,The district contracts with Gender Spectrum and Our Space to educate teachers on gender issues.,https://www.google.com/search?q=pleasanton+unified&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiTjPq5_8PWAhWBTLwKHdJtA7sQ_AUIDCgD&biw=1440&bih=834#imgrc=xXENz08z4fBnfM:,pleasanton.png
3868478,San Francisco,San Francisco Unified,"60,133",Unified School District,Y,Y,ALL,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Y,ALL,NA,50,50,150,250,"The district said it also provides training for school nurses and parents. The district estimates it has approximately 200 transgender students: 50 in elementary school, 50 in middle school, and 150 in high school.",https://www.google.com/search?q=san+francisco+unified&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiNrd7l_cPWAhWElJQKHZ-FAJcQ_AUIDCgD&biw=1440&bih=834#imgrc=FfPVhnVKoB8UIM:,sfusd.png
4369666,Santa Clara,San Jose Unified,"32,004",Unified School District,Y,Y,ALL,ALL,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Y,ALL,ALL,UNKNOWN,UNKNOWN,UNKNOWN,0,"The district declined an on-camera interview, but said it provides teachers ""robust training"" on issues related to gender and race.",https://www.google.com/search?q=san+jose+unified+school+district&rlz=1C1GCEA_enUS765US765&source=lnms&tbm=isch&sa=X&ved=0ahUKEwitheOswtrWAhVO-GMKHUXCA9gQ_AUIDSgE&biw=1920&bih=959#imgrc=aiw3j2aWCSMzFM:,san-jose.jpg
4169039,San Mateo,San Mateo-Foster City,"11,970",Elementary School District,Y,Y,"E,M",NA,Yes,Yes,NA,Yes,Yes,NA,No,Yes,NA,PARTIAL,M,E,UNKNOWN,UNKNOWN,UNKNOWN,0,The district said it works with Adolescent Counseling Services to provide gender education to students at all 4 of its middle schools.,https://www.google.com/search?q=SAN+MATEO+FOSTER+CITY&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjDytSCgMTWAhWGoZQKHeLwBNoQ_AUIDCgD&biw=1440&bih=834#imgrc=jYeHsUJkVVocCM:,san-mateo.jpg
761804,Contra Costa,San Ramon Valley Unified,"32,425",Unified School District,Y,Y,ALL,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,N,NA,ALL,UNKNOWN,UNKNOWN,UNKNOWN,0,,https://www.google.com/search?q=san+ramon+valley+unified&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiVm7jU_sPWAhUGHpQKHcQgAnAQ_AUIDSgE&biw=1440&bih=834#imgrc=yAnUvfifN-TSzM:,san-ramon-val.jpg
4369674,Santa Clara,Santa Clara Unified,"15,409",Unified School District,Y,Y,ALL,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,PARTIAL,"M,H",E,UNKNOWN,UNKNOWN,UNKNOWN,0,"Beginning this year, students in the district can provide a preferred name and pronoun (gender marker). Only legal documents, such as a diploma, will include the student's legal name.",https://www.google.com/search?q=santa+clara+unified+school+district&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiwjNix_8PWAhWEerwKHVULD9wQ_AUIDCgD&biw=1440&bih=834#imgrc=AFsIARmPMpAiRM:,santa-clara.png
4870573,Solano,Vacaville Unified,"12,952",Unified School District,PARTIAL,PARTIAL,ONLY IF TRANS ENROLLED,NA,Sometimes*,Sometimes*,Sometimes*,Sometimes*,Sometimes*,Sometimes*,No,No,No,N,NA,ALL,3,0,8,11,,https://www.google.com/search?q=vacaville+unified+school+district&source=lnms&tbm=isch&sa=X&ved=0ahUKEwj3tKHs_8PWAhVIGpQKHcN1DZUQ_AUIDSgE&biw=1440&bih=834#imgrc=s3Obly1yExwXiM:,vacaville-unified.jpg
4870581,Solano,Vallejo City Unified,"14,554",Unified School District,Y,N,ALL,NA,Yes,Yes,Yes,No,No,No,No,No,No,N,NA,ALL,UNKNOWN,UNKNOWN,UNKNOWN,0,"The district, along with at least 4 others in the Bay Area, does not provide teachers training on transgender issues.  The district declined an on-camera interview.",https://www.google.com/search?q=vallejo+city+unified&source=lnms&tbm=isch&sa=X&ved=0ahUKEwj6nZ_J_8PWAhWJy7wKHUpzA1AQ_AUIDSgE&biw=1440&bih=834#imgrc=Ir42js5GSsCRtM:,vallejo.png
761796,Contra Costa,West Contra Costa Unified,"31,267",Unified School District,Y,Y,ALL,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,PARTIAL,"M,H",E,UNKNOWN,UNKNOWN,UNKNOWN,0,,https://www.google.com/search?q=west+contra+costa+unified&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjHpcXy_sPWAhXBqJQKHdesDGEQ_AUIDCgD&biw=1440&bih=834#imgrc=K-yQLFSkz0AhJM:,west-contra-costa.png
